TrashID:4
Location:McDonalds Sønderborg
Weight,TimeStamp
2053.1345871230345,2024-03-01 08:15:24.123456
1345.6872139021457,2024-03-01 13:47:55.234561
1589.6713245798123,2024-03-02 07:22:15.345612
1423.6572131456712,2024-03-02 18:45:36.456123
1876.6712356789543,2024-03-03 05:55:24.567234
1622.3456123789012,2024-03-03 14:17:45.678345
1304.1234567890123,2024-03-04 09:09:09.789456
1945.6789012345678,2024-03-04 19:19:19.890567
1511.2345678901234,2024-03-05 10:29:29.901678
1678.9012356712345,2024-03-05 20:39:39.012789
1829.5678923456789,2024-03-06 06:49:49.123890
1590.2345678901234,2024-03-06 16:59:59.234901
1734.8923456789012,2024-03-07 03:10:10.345012
1487.5678901234567,2024-03-07 13:20:20.456123
1645.6789012345678,2024-03-08 08:30:30.567234
1723.7890123456789,2024-03-08 18:40:40.678345
1834.8901234567890,2024-03-09 04:50:50.789456
1529.9012345678901,2024-03-09 15:01:01.890567
1967.0123456789012,2024-03-10 05:11:11.901678
1834.1234567890123,2024-03-10 15:21:21.012789
1545.2345678901234,2024-03-11 02:31:31.123890
1689.3456789012345,2024-03-11 12:41:41.234901
1790.4567890123456,2024-03-12 00:51:51.345012
1432.5678901234567,2024-03-12 11:02:02.456123
1654.6789012345678,2024-03-13 03:12:12.567234
1743.7890123456789,2024-03-13 13:22:22.678345
1856.8901234567890,2024-03-14 00:32:32.789456
1534.9012345678901,2024-03-14 10:42:42.890567
1973.0123456789012,2024-03-15 01:52:52.901678
1849.1234567890123,2024-03-15 12:03:03.012789
1559.2345678901234,2024-03-16 02:13:13.123890
1698.3456789012345,2024-03-16 12:23:23.234901
1807.4567890123456,2024-03-17 00:33:33.345012
1446.5678901234567,2024-03-17 11:43:43.456123
1665.6789012345678,2024-03-18 03:53:53.567234
1750.7890123456789,2024-03-18 14:04:04.678345
1868.8901234567890,2024-03-19 01:14:14.789456
TrashID:5
Location:Kliplev
Weight,TimeStamp
2053.1345871230345,2024-03-01 08:15:24.123456
1345.6872139021457,2024-03-01 13:47:55.234561
1589.6713245798123,2024-03-02 07:22:15.345612
1423.6572131456712,2024-03-02 18:45:36.456123
1876.6712356789543,2024-03-03 05:55:24.567234
1622.3456123789012,2024-03-03 14:17:45.678345
1304.1234567890123,2024-03-04 09:09:09.789456
1945.6789012345678,2024-03-04 19:19:19.890567
1511.2345678901234,2024-03-05 10:29:29.901678
1678.9012356712345,2024-03-05 20:39:39.012789
1829.5678923456789,2024-03-06 06:49:49.123890
1590.2345678901234,2024-03-06 16:59:59.234901
1734.8923456789012,2024-03-07 03:10:10.345012
1487.5678901234567,2024-03-07 13:20:20.456123
1645.6789012345678,2024-03-08 08:30:30.567234
1723.7890123456789,2024-03-08 18:40:40.678345
1834.8901234567890,2024-03-09 04:50:50.789456
1529.9012345678901,2024-03-09 15:01:01.890567
1967.0123456789012,2024-03-10 05:11:11.901678
1834.1234567890123,2024-03-10 15:21:21.012789
1545.2345678901234,2024-03-11 02:31:31.123890
1689.3456789012345,2024-03-11 12:41:41.234901
1790.4567890123456,2024-03-12 00:51:51.345012
1432.5678901234567,2024-03-12 11:02:02.456123
1654.6789012345678,2024-03-13 03:12:12.567234
1743.7890123456789,2024-03-13 13:22:22.678345
1856.8901234567890,2024-03-14 00:32:32.789456
1534.9012345678901,2024-03-14 10:42:42.890567
1973.0123456789012,2024-03-15 01:52:52.901678
1849.1234567890123,2024-03-15 12:03:03.012789
1559.2345678901234,2024-03-16 02:13:13.123890
1698.3456789012345,2024-03-16 12:23:23.234901
1807.4567890123456,2024-03-17 00:33:33.345012
1446.5678901234567,2024-03-17 11:43:43.456123
1665.6789012345678,2024-03-18 03:53:53.567234
1750.7890123456789,2024-03-18 14:04:04.678345
